date,temperature,humidity,luminosity
2020-12-03 16:16:37.260,18.7,19.5,43
2020-12-03 16:16:34.983,18.7,19.5,43
2020-12-03 16:16:32.706,18.7,19.5,43
2020-12-03 16:16:30.429,18.7,19.5,43
2020-12-03 16:16:28.151,18.7,19.5,43
2020-12-03 16:16:25.878,18.7,19.6,42
2020-12-03 16:16:23.601,18.7,19.6,42
2020-12-03 16:16:21.324,18.6,19.5,42
2020-12-03 16:16:19.046,18.6,19.5,42
2020-12-03 16:16:16.769,18.7,19.6,42
2020-12-03 16:16:14.492,18.6,19.6,42
2020-12-03 16:16:12.215,18.6,19.6,42
2020-12-03 16:16:09.938,18.7,19.6,42
2020-12-03 16:16:07.661,18.7,19.7,42
2020-12-03 16:16:05.383,18.7,19.7,42
2020-12-03 16:16:03.106,18.7,19.6,42
2020-12-03 16:16:00.829,18.7,19.7,42
2020-12-03 16:15:58.552,18.7,19.7,42
2020-12-03 16:15:56.278,18.7,19.7,42
2020-12-03 16:15:54.001,18.7,19.8,42
2020-12-03 16:15:51.724,18.7,19.8,42
2020-12-03 16:15:49.447,18.7,19.8,42
2020-12-03 16:15:47.169,18.7,19.8,42
2020-12-03 16:15:44.892,18.7,19.8,42
2020-12-03 16:15:42.615,18.7,19.8,42
2020-12-03 16:15:40.338,18.7,19.8,42
2020-12-03 16:15:38.061,18.7,19.8,41
2020-12-03 16:15:35.784,18.7,19.8,42
2020-12-03 16:15:33.510,18.7,19.8,42
2020-12-03 16:15:31.233,18.7,19.8,42
2020-12-03 16:15:28.956,18.7,19.8,42
2020-12-03 16:15:26.678,18.7,19.7,42
2020-12-03 16:15:24.401,18.7,19.7,43
2020-12-03 16:15:22.124,18.7,19.8,42
2020-12-03 16:15:19.847,18.7,19.8,43
2020-12-03 16:15:17.569,18.7,19.8,43
2020-12-03 16:15:15.293,18.7,19.8,43
2020-12-03 16:15:13.019,18.7,19.8,43
2020-12-03 16:15:10.742,18.7,19.9,43
2020-12-03 16:15:08.465,18.7,19.9,43
2020-12-03 16:15:06.187,18.7,19.9,43
2020-12-03 16:15:03.910,18.7,19.9,43
2020-12-03 16:15:01.633,18.7,19.9,43
2020-12-03 16:14:59.356,18.7,20.0,43
2020-12-03 16:14:57.079,18.7,19.9,44
2020-12-03 16:14:54.801,18.7,19.9,44
2020-12-03 16:14:52.524,18.7,19.9,44
2020-12-03 16:14:50.247,18.7,19.8,44
2020-12-03 16:14:47.974,18.8,19.9,43
2020-12-03 16:14:45.697,18.7,19.8,44
2020-12-03 16:14:43.419,18.7,19.8,43
2020-12-03 16:14:41.142,18.7,19.8,43
2020-12-03 16:14:38.865,18.7,19.8,43
2020-12-03 16:14:36.588,18.8,19.8,43
2020-12-03 16:14:34.310,18.8,19.8,44
2020-12-03 16:14:32.033,18.8,19.8,43
2020-12-03 16:14:29.756,18.8,19.7,43
2020-12-03 16:14:27.483,18.8,19.7,43
2020-12-03 16:14:25.206,18.8,19.7,43
2020-12-03 16:14:22.929,18.8,19.7,43
2020-12-03 16:14:20.651,18.8,19.7,43
2020-12-03 16:14:18.376,18.8,19.7,43
2020-12-03 16:14:16.097,18.8,19.7,43
2020-12-03 16:14:13.820,18.8,19.7,42
2020-12-03 16:14:11.542,18.8,19.7,41
2020-12-03 16:14:09.265,18.8,19.7,42
2020-12-03 16:14:06.992,18.8,19.7,43
2020-12-03 16:14:04.715,18.8,19.7,43
2020-12-03 16:14:02.437,18.8,19.6,43
2020-12-03 16:14:00.160,18.8,19.6,43
2020-12-03 16:13:57.883,18.8,19.7,43
2020-12-03 16:13:55.606,18.8,19.7,43
2020-12-03 16:13:53.328,18.9,19.8,43
2020-12-03 16:13:51.051,18.9,19.8,43
2020-12-03 16:13:48.774,18.9,19.9,43
2020-12-03 16:13:46.501,18.9,20.0,44
2020-12-03 16:13:44.224,18.9,20.0,43
2020-12-03 16:13:41.947,18.9,20.1,43
2020-12-03 16:13:39.669,18.9,20.1,43
2020-12-03 16:13:37.392,18.9,20.1,43
2020-12-03 16:13:35.115,18.9,20.1,43
2020-12-03 16:13:32.838,18.9,20.0,43
2020-12-03 16:13:30.560,18.9,20.1,43
2020-12-03 16:13:28.283,18.9,20.1,43
2020-12-03 16:13:26.006,18.9,20.1,43
2020-12-03 16:13:23.732,18.9,20.1,43
2020-12-03 16:13:21.456,18.9,20.1,43
2020-12-03 16:13:19.178,18.9,20.1,43
2020-12-03 16:13:16.901,18.9,20.1,43
2020-12-03 16:13:14.624,18.9,20.0,43
2020-12-03 16:13:12.346,18.9,20.0,44
2020-12-03 16:13:10.070,18.9,20.0,43
2020-12-03 16:13:07.792,18.9,20.0,44
2020-12-03 16:13:05.515,18.9,19.9,43
2020-12-03 16:13:03.237,18.9,19.8,44
2020-12-03 16:13:00.960,18.9,19.7,44
2020-12-03 16:12:58.687,18.9,19.6,44
2020-12-03 16:12:56.410,18.9,19.6,44
2020-12-03 16:12:54.133,18.9,19.5,44
2020-12-03 16:12:51.855,18.9,19.5,44
2020-12-03 16:12:49.578,18.9,19.5,44
2020-12-03 16:12:47.301,18.9,19.6,44
2020-12-03 16:12:45.024,18.9,19.6,44
2020-12-03 16:12:42.747,18.9,19.6,43
2020-12-03 16:12:40.469,18.9,19.6,43
2020-12-03 16:12:38.196,18.9,19.5,43
2020-12-03 16:12:35.919,18.9,19.5,44
2020-12-03 16:12:33.642,18.9,19.4,43
2020-12-03 16:12:31.365,18.9,19.4,43
2020-12-03 16:12:29.087,18.9,19.4,43
2020-12-03 16:12:26.810,18.9,19.3,43
2020-12-03 16:12:24.533,19.0,19.3,43
2020-12-03 16:12:22.256,19.0,19.3,43
2020-12-03 16:12:19.979,19.0,19.3,43
2020-12-03 16:12:17.701,19.0,19.3,43
2020-12-03 16:12:15.424,19.0,19.3,43
2020-12-03 16:12:13.147,19.0,19.3,43
2020-12-03 16:12:10.869,19.0,19.3,43
2020-12-03 16:12:08.592,19.0,19.4,43
2020-12-03 16:12:06.319,19.0,19.4,43
2020-12-03 16:12:04.042,19.0,19.4,43
2020-12-03 16:12:01.765,19.0,19.5,43
2020-12-03 16:11:59.488,19.0,19.5,43
2020-12-03 16:11:57.210,19.0,19.6,43
2020-12-03 16:11:54.933,19.0,19.6,43
2020-12-03 16:11:52.656,19.0,19.6,44
2020-12-03 16:11:50.379,19.0,19.6,43
2020-12-03 16:11:48.102,19.0,19.5,43
2020-12-03 16:11:45.828,19.0,19.5,43
2020-12-03 16:11:43.551,19.1,19.5,43
2020-12-03 16:11:41.274,19.0,19.4,43
2020-12-03 16:11:38.997,19.1,19.5,43
2020-12-03 16:11:36.719,19.1,19.4,43
2020-12-03 16:11:34.442,19.1,19.4,43
2020-12-03 16:11:32.165,19.1,19.5,43
2020-12-03 16:11:29.888,19.1,19.5,43
2020-12-03 16:11:27.611,19.1,19.5,43
2020-12-03 16:11:25.333,19.1,19.5,43
2020-12-03 16:11:23.060,19.1,19.6,43
2020-12-03 16:11:20.783,19.1,19.6,43
2020-12-03 16:11:18.506,19.1,19.6,43
2020-12-03 16:11:16.228,19.1,19.6,43
2020-12-03 16:11:13.951,19.2,19.7,43
2020-12-03 16:11:11.674,19.2,19.8,43
2020-12-03 16:11:09.396,19.2,19.8,43
2020-12-03 16:11:07.120,19.2,19.8,43
2020-12-03 16:11:04.842,19.2,19.8,43
2020-12-03 16:11:02.569,19.2,19.9,43
2020-12-03 16:11:00.292,19.2,19.8,43
2020-12-03 16:10:58.015,19.2,19.8,42
2020-12-03 16:10:55.738,19.2,19.8,44
2020-12-03 16:10:53.460,19.2,19.8,43
2020-12-03 16:10:51.183,19.2,19.8,43
2020-12-03 16:10:48.905,19.2,19.8,43
2020-12-03 16:10:46.628,19.2,19.8,43
2020-12-03 16:10:44.355,19.2,19.7,43
2020-12-03 16:10:42.078,19.2,19.7,43
2020-12-03 16:10:39.801,19.2,19.7,43
2020-12-03 16:10:37.524,19.2,19.7,43
2020-12-03 16:10:35.246,19.2,19.7,43
2020-12-03 16:10:32.969,19.2,19.7,43
2020-12-03 16:10:30.692,19.2,19.7,43
2020-12-03 16:10:28.419,19.3,19.8,43
2020-12-03 16:10:26.141,19.3,19.8,43
2020-12-03 16:10:23.864,19.3,19.8,43
2020-12-03 16:10:21.587,19.3,19.8,43
2020-12-03 16:10:19.310,19.3,19.9,43
2020-12-03 16:10:17.033,19.3,19.9,42
2020-12-03 16:10:14.756,19.3,20.0,42
2020-12-03 16:10:12.478,19.4,20.0,42
2020-12-03 16:10:10.205,19.3,20.0,42
2020-12-03 16:10:07.928,19.4,20.1,42
2020-12-03 16:10:05.650,19.4,20.1,42
2020-12-03 16:10:03.373,19.4,20.1,42
2020-12-03 16:10:01.096,19.4,20.0,43
2020-12-03 16:09:58.819,19.4,20.0,42
2020-12-03 16:09:56.542,19.4,20.0,42
2020-12-03 16:09:54.265,19.4,20.0,42
2020-12-03 16:09:51.991,19.4,20.0,43
2020-12-03 16:09:49.714,19.4,19.9,43
2020-12-03 16:09:47.437,19.4,20.0,44
2020-12-03 16:09:45.160,19.4,20.0,44
2020-12-03 16:09:42.882,19.4,20.0,44
2020-12-03 16:09:40.605,19.5,20.2,44
2020-12-03 16:09:38.328,19.5,20.2,44
2020-12-03 16:09:36.051,19.5,20.2,44
2020-12-03 16:09:33.777,19.5,20.3,43
